Document ID,Document Date,Gazette Type,Reasoning
2304-01,2022-10-31,LEGAL_REGULATORY,"This gazette notification is issued under the Customs Ordinance (Chapter 235) and establishes new rates of exchange for customs duties and charges. It constitutes a regulatory framework for customs operations, making it a legal/regulatory matter rather than a government personnel, organizational, or specialized administrative matter."
2304-02,2022-10-31,ELECTIONS,"This gazette content deals specifically with electoral processes, specifically the revision and certification of electoral registers for multiple electoral districts. It contains notices about voter registration matters under the Registration of Electors Act, which falls squarely under the Elections category (Type 7) as it involves electoral administration, voter registration updates, and public inspection of electoral registers."
2304-04,2022-10-31,LEGAL_REGULATORY,"This gazette content primarily involves the promulgation of new regulations under the Imports and Exports Control Act, specifically the ""Imports Control Regulations on Payment Terms No. 19 of 2022."" It amends previous regulations, extends deadlines for import consignments, and provides exemptions and implementation instructions. This falls squarely under Legal/Regulatory matters (Type 5) as it deals with regulatory frameworks, statutory instruments, and compliance requirements for import/export control."
2304-05,2022-10-31,LEGAL_REGULATORY,"This gazette content primarily involves the promulgation of new regulations under the Imports and Exports Control Act, specifically amending the Special Imports License Regulations. It establishes legal/regulatory frameworks for import control exemptions for aircraft parts, which falls under legal/regulatory matters rather than government personnel or structural changes."
2304-06,2022-10-31,LEGAL_REGULATORY,"This gazette content is a legal/regulatory notice issued under the Sri Lanka Electricity Act, No. 20 of 2009 (Amended). It involves the Public Utilities Commission exercising its statutory powers to issue Certificates of Exemption from licensing requirements for electricity distribution and supply. This falls squarely under legal/regulatory matters involving statutory instruments and regulatory compliance."
2304-07,2022-10-31,ELECTIONS,"This gazette notice concerns the filling of a vacancy in a local government body (Vengalacheddikulam Pradeshiya Sabha) under the Local Authorities Elections Ordinance. It specifically deals with the electoral process for local authorities, including the resignation of a member and the nomination of a replacement by a recognized political party. This falls squarely under Election Gazettes (Type 7) which cover electoral processes, candidate nominations, and declarations related to local authority elections."
2304-08,2022-10-31,ELECTIONS,"This gazette notice declares that a member of the Akkaraipattu Pradeshiya Sabha (a local authority) has vacated their office due to ceasing membership in their political party. This falls under electoral processes and local government matters, specifically addressing the status of an elected official in a local authority, which aligns with Type 7 (Elections Gazettes) for electoral-related declarations and office vacancies."
2304-09,2022-10-31,LAND,"This gazette content is exclusively about land acquisition under the Land Acquisition Act, detailing specific land lots being acquired for public purpose. It contains descriptions of land parcels, their locations, extents, and claimant information, along with procedures for compensation claims. This falls squarely under Land Gazettes (Type 4) as it deals with land acquisition and property matters."
2304-10,2022-10-31,LAND,"This gazette content is primarily about land acquisition under the Land Acquisition Act. It contains detailed descriptions of specific land parcels, their boundaries, extents, and locations. While it mentions a government minister (Harin Fernando) issuing the order, the core content focuses on the legal process of taking possession of land for public purposes, which falls squarely under Land Gazettes (Type 4) for land acquisition matters."
2304-11,2022-10-31,LEGAL_REGULATORY,"This gazette notification announces a special allowance for workers in specific trades under the Wages Boards Ordinance. It contains regulatory information about wage adjustments based on cost of living index numbers, making it a legal/regulatory matter rather than government personnel/structure or other specialized categories."
2304-12,2022-10-31,LAND,"This gazette content is primarily about land acquisition under the Land Acquisition Act, describing specific land parcels, their boundaries, extents, and locations for public purpose acquisition. It contains detailed land descriptions and property matters without government personnel changes or portfolio responsibilities, fitting squarely within the Land Gazette classification (Type 4)."
2304-13,2022-10-31,LAND,"This gazette notice is about land acquisition under the Land Acquisition Act, specifically describing two parcels of land to be acquired for the Grand Height Hotel Project. It includes detailed descriptions of the land lots, their locations, extents, current usage, and claimant information. The content focuses entirely on land/property matters, making it a clear example of a Land Gazette (Type 4) rather than government personnel or structural changes."
2304-14,2022-10-31,PEOPLE,"This gazette contains only government personnel changes (appointments of named individuals as Commissioners of the Mediation Boards Commission) with basic titles only (""Commissioners,"" ""Chairman""). It does not include detailed descriptions of portfolio responsibilities or subject matter areas, which would make it a Hybrid (Type 3). The content focuses exclusively on who is being appointed without specifying what they are responsible for beyond their general titles."
2303-50,2022-10-29,ELECTIONS,"This gazette notice declares that a member of a local authority (Addalachchenai Pradeshiya Sabha) has vacated their office due to ceasing membership in their political party. This falls under electoral processes and matters related to local authority membership as specified in the Local Authorities Elections Ordinance, making it an Elections Gazette (Type 7)."
2303-51,2022-10-29,LAND,"This gazette content exclusively deals with land acquisition matters under the Land Acquisition Act, including detailed descriptions of specific land parcels, their locations, extents, claimants, and usage. It contains notices for acquiring land for public purposes and corrections to previous land acquisition notices, all falling squarely within the definition of Land Gazettes (Type 4) which cover land acquisitions, transfers, and property-related administrative matters."
2303-52,2022-10-29,LAND,"This gazette content is exclusively about land acquisition matters under the Land Acquisition Act. It contains detailed notices for acquiring specific land parcels (with lot numbers, descriptions, extents, and claimant information) for public purposes, including a railway project. The content focuses entirely on land-related administrative procedures without any government personnel changes, structural changes, or other specialized categories. This fits perfectly within the Land Gazette classification (Type 4) for land acquisitions and property matters."
2303-53,2022-10-29,LAND,"This gazette content exclusively deals with land acquisition matters under the Land Acquisition Act. It contains detailed notices for acquiring specific land parcels (including lot numbers, descriptions, extents, and locations) for public purposes (railway project). The content focuses on property rights, state acquisition of land, and compensation processes, which squarely fits the Land Gazettes category (Type 4) for land and property-related matters."
2303-54,2022-10-29,LEGAL_REGULATORY,"This gazette content primarily deals with legal/regulatory matters under the Industrial Disputes Act, specifically orders and revocations related to arbitration appointments for industrial disputes. It contains statutory instruments, legal notices, and regulatory procedures for dispute resolution, but does not focus on government personnel changes, organizational structure, or any of the other specialized categories. The mention of the Minister's name is incidental to the legal/regulatory function being performed."
2303-55,2022-10-29,LEGAL_REGULATORY,"This gazette content primarily deals with legal/regulatory matters under the Industrial Disputes Act, specifically orders and revocations of orders for arbitration in industrial disputes. It involves statutory instruments (orders under Section 4(1) of the Act), legal procedures for dispute resolution, and regulatory actions by the Minister of Labour. While it mentions a government minister (Manusha Nanayakkara), it does so in the context of exercising statutory powers rather than describing government structure or personnel changes, making it primarily a legal/regulatory matter rather than a government classification type."
2303-56,2022-10-29,LAND,"This gazette content exclusively deals with land title registration matters under the Registration of Title Act. It contains declarations of title determinations for specific land parcels (including parcel numbers, extents, owner details, and encumbrances) in various locations. The content focuses on property ownership, land titles, and registration processes, which squarely fits the Land Gazette classification (Type 4) for land and property-related administrative matters."
2303-57,2022-10-29,LAND,"This gazette content exclusively deals with land title registration matters under the Registration of Title Act. It contains declarations of determination by the Commissioner of Title Settlement regarding specific land parcels, including detailed schedules with parcel numbers, extents, owner names, title classifications, and encumbrances. The content focuses entirely on land ownership and property rights, falling squarely within the Land Gazettes category (Type 4) for land and property-related matters."
2303-58,2022-10-29,LAND,"This gazette content deals exclusively with land title registration matters under the Registration of Title Act, including declarations of title determinations for specific land parcels, ownership details, and property particulars. It contains detailed schedules with land parcel numbers, owner information, extent of land, and title classifications, which falls squarely under the Land Gazettes category (Type 4) for land and property-related matters."
2303-59,2022-10-29,LAND,"This gazette content exclusively deals with land title registration matters under the Registration of Title Act. It contains declarations of determination for specific land parcels (including parcel numbers, locations, ownership details, and land characteristics) by the Commissioner of Title Settlement. The content focuses on land ownership, title settlement, and property registration, which falls squarely under the Land Gazettes category (Type 4) as it involves land registrations, property ownership determinations, and land title matters."
2303-60,2022-10-29,LAND,"This gazette content deals exclusively with land title registration matters, specifically the declaration of determinations by the Commissioner of Title Settlement regarding specific land parcels. It contains detailed information about land ownership, parcel numbers, extents, owner identities, and encumbrances - all falling under land and property-related matters as defined in Type 4 (Land Gazettes). The content does not involve government personnel changes, organizational restructuring, or any of the other specialized categories."
2303-61,2022-10-29,LAND,"This gazette content exclusively deals with land title registration matters under the Registration of Title Act. It contains declarations of determination regarding specific land parcels (including parcel numbers, locations, ownership details, and land characteristics) by the Commissioner General of Land Title Settlement. The content focuses on land ownership, title settlements, and property registrations, which falls squarely under the Land Gazettes category (Type 4) for land and property-related matters."
2303-62,2022-10-29,LAND,"This gazette content exclusively deals with land title registration matters under the Registration of Title Act, specifically declaring determinations of land ownership for specific parcels in various locations. It contains detailed schedules with land parcel numbers, owner information, extent of land, and title classifications, making it clearly a Land Gazette according to the classification criteria."
