Document ID,Document Date,Gazette Type,Reasoning
2417-14,2024-12-31,LEGAL_REGULATORY,"This gazette contains regulations made by the Minister under the Merchant Shipping Act, establishing new legal requirements for non-convention vessels. It creates a regulatory framework with compliance requirements, certificates, and penalties for violations, which falls squarely under Legal/Regulatory matters (Type 5) rather than government personnel/structure changes."
2417-15,2024-12-31,LEGAL_REGULATORY,"This gazette contains regulations made by the Minister under the Merchant Shipping Act, No. 52 of 1971, which establishes new legal/regulatory frameworks for categorizing waters where registered vessels in Sri Lanka shall operate. It defines various water categories, operational areas, and technical terms, making it a statutory instrument that falls under Legal/Regulatory classification rather than government personnel or structural changes."
2417-16,2024-12-31,LEGAL_REGULATORY,"This gazette contains regulations made by the Minister under the Merchant Shipping Act, No. 52 of 1971. It establishes new regulatory frameworks for vessel classification, certification requirements, inspection procedures, and operational standards for merchant shipping. The content focuses entirely on legal/regulatory matters - creating new subsidiary legislation under an existing Act, which falls under Type 5 (Legal/Regulatory Gazettes) for legal framework and regulatory matters."
2417-17,2024-12-31,LEGAL_REGULATORY,"This gazette contains regulations made by the Minister under the Merchant Shipping Act, establishing legal standards for training, certification and watchkeeping for seafarers on domestic voyages. It creates a new regulatory framework with specific legal requirements and compliance standards, which falls under Legal/Regulatory classification (Type 5). While it mentions a minister's name, it does not focus on government personnel changes or portfolio assignments, but rather on the substantive legal regulations being promulgated."
2417-19,2024-12-31,LAND,"This gazette content is exclusively about land acquisition notices under the Land Acquisition Act, detailing specific land parcels being acquired for the Central Expressway Project. It contains descriptions of land lots, their locations, claimants, and purposes, which falls squarely under the Land Gazettes category (Type 4) for land acquisition matters."
2417-20,2024-12-31,LEGAL_REGULATORY,"This gazette content involves the imposition of special commodity levies on various goods through an order under the Special Commodity Levy Act, No. 48 of 2007. It establishes regulatory frameworks and compliance requirements for import/export duties, which falls under legal/regulatory matters. While it mentions a minister's name (Anura Kumara Dissanayake), this is in the context of exercising statutory powers rather than describing his portfolio responsibilities or making a personnel appointment, so it does not qualify as a government-related classification (Types 1-3)."
2417-21,2024-12-31,LEGAL_REGULATORY,"This gazette notification involves the Minister of Energy using statutory powers under the Ceylon Petroleum Corporation Act to revise fuel prices. The content focuses on regulatory action (price changes) made under existing legislation, which falls under Legal/Regulatory matters rather than government personnel or organizational changes. While it mentions a minister by name, it does so in the context of exercising regulatory authority rather than announcing appointments or portfolio responsibilities."
2417-01,2024-12-30,COMMERCIAL,"This gazette content contains a detailed list of financial amounts and currency codes associated with various country codes and descriptors, which appears to be a schedule of foreign exchange rates, commercial valuations, or financial allocations. This falls under business and commercial regulatory matters, specifically aligning with Type 6 (Commercial Gazettes) for financial institution regulations and commercial monetary matters."
2417-02,2024-12-30,LAND,"This gazette content exclusively deals with land title registration matters under the Registration of Title Act. It contains detailed declarations of title determinations for specific land parcels, including parcel numbers, owner names, extent of land, class of title, and encumbrances. The content focuses entirely on land ownership and property rights, falling squarely within the Land Gazette classification (Type 4) for land and property-related matters."
2417-03,2024-12-30,LAND,"This gazette content exclusively deals with land title registration matters under the Registration of Title Act, including declarations of title determinations for specific land parcels, ownership details, and land-related encumbrances. It contains detailed schedules of land parcels with ownership information, extents, and land classifications, which falls squarely under the Land Gazettes category (Type 4) for land and property-related matters."
2417-04,2024-12-30,LAND,"This gazette content exclusively deals with land title registration matters under the Registration of Title Act. It contains declarations of determination for specific land parcels, including detailed property descriptions, ownership details, and legal status of land titles. The content focuses entirely on land registration and property ownership matters, falling squarely within the Land Gazettes category (Type 4) as it involves land titles, property ownership determinations, and cadastral mapping information."
2417-05,2024-12-30,LAND,"This gazette content deals exclusively with land title registration matters, specifically declarations of determination for specific land parcels under the Registration of Title Act. It contains detailed information about land ownership, parcel numbers, cadastral maps, property boundaries, and owner identification - all falling squarely within the Land Gazette classification criteria."
2417-06,2024-12-30,LAND,"This gazette content deals exclusively with land title registration matters under the Registration of Title Act. It contains declarations of title determinations for specific land parcels, including detailed information about land ownership, parcel numbers, extents, and property rights. The document is explicitly published in ""PART III - LANDS"" and focuses on land settlement and title registration processes, which falls squarely under the Land Gazettes classification (Type 4) for land and property-related matters."
