Document ID,Document Date,Gazette Type,Reasoning
2143-01,2019-09-30,LEGAL_REGULATORY,"This gazette notification announces new rates of exchange for customs duties and charges under the Customs Ordinance (Chapter 235). It constitutes a regulatory framework for customs operations, specifically modifying the legal requirements for calculating and paying customs duties. The content involves statutory instruments and compliance requirements rather than government personnel changes, organizational restructuring, or any of the other specialized categories."
2143-02,2019-09-30,LEGAL_REGULATORY,"This gazette notification announces a special allowance for workers based on the Cost of Living Index Number, issued under Section 20(2)(b) of the Wages Boards Ordinance. It pertains to the implementation of a regulatory framework (the Ordinance) and sets compliance requirements for wage payments in a specific trade, making it a Legal/Regulatory matter."
2143-03,2019-09-30,LEGAL_REGULATORY,"This gazette content primarily involves the imposition of a Special Commodity Levy under the Special Commodity Levy Act, No. 48 of 2007. It contains a regulatory order with specific rates and commodity classifications, making it a legal/regulatory matter rather than a government personnel or structural change. The mention of the Minister's name is incidental to the regulatory action being taken."
2143-04,2019-09-30,LEGAL_REGULATORY,"This gazette content primarily involves the exercise of regulatory power under the Customs Ordinance to grant duty exemptions. It constitutes a statutory instrument (an Order) that modifies the application of existing customs laws for specific importers and goods, which falls squarely under the definition of Legal/Regulatory Gazettes (new regulations, statutory instruments, and regulatory frameworks). While a government minister is named, the core content is about regulatory action, not about the minister's appointment, portfolio responsibilities, or government structure."
2143-05,2019-09-30,LEGAL_REGULATORY,"This gazette content consists of the Central Bank of Sri Lanka's balance sheet and the Auditor General's review report. It contains financial statements, regulatory reporting requirements, and audit compliance information, which falls under legal/regulatory matters concerning financial institution oversight and statutory reporting obligations."
2143-06,2019-09-30,HYBRID,"This gazette content names specific government officials (including the President and Prime Minister) and assigns detailed ministerial portfolio responsibilities, making it a Hybrid Gazette. It contains both ""who"" (government personnel) and ""what"" (specific government functions and responsibilities they hold)."
2143-07,2019-09-30,LAND,"This gazette content is a notice under Section 33 of the Land Acquisition Act, specifically detailing the acquisition of land parcels, compensation deposit, and providing a comprehensive schedule of land descriptions including lot numbers, land names, extents, and boundary details. The content primarily deals with land acquisition matters, which falls squarely under the Land Gazettes classification (Type 4) for land and property-related administrative notices."
2143-08,2019-09-30,LAND,"This gazette content is exclusively about land acquisition matters under the Land Acquisition Act. It contains detailed descriptions of specific land parcels being acquired for a public purpose (Central Expressway Project), including lot numbers, land names, descriptions, claimants, and extents. The content falls under ""Land acquisitions, transfers, or disposals"" as specified in the Land Gazettes (Type 4) classification."
2143-09,2019-09-30,LEGAL_REGULATORY,"This gazette content involves the President exercising powers under the Commission Inquiry Act to extend the deadline for a commission's final report. It deals with legal procedures, statutory instruments, and the operation of an established legal framework (commission of inquiry), which falls under Legal/Regulatory matters (Type 5). While it mentions the President by name, it does not involve government structural changes, personnel appointments, or detailed portfolio responsibilities that would qualify for Types 1-3. The content is specifically about legal procedures and regulatory extensions rather than government administration or personnel matters."
2143-10,2019-09-30,LAND,"This gazette content deals exclusively with land title registration matters under the Registration of Title Act, specifically declaring determinations of land titles for multiple parcels in Kohuwala and Kalubowila. It includes detailed schedules of land parcels with their extent, ownership details, and encumbrances, making it clearly a land-related matter falling under Type 4 (Land Gazettes)."
