Document ID,Document Date,Gazette Type,Reasoning,Document Path,Document Availability,Download URL,Document Description
2470-58,2026-01-10,PUBLIC_SERVICE,"The gazette content is an amendment to the ""Medical Service Minute of the Sri Lanka Health Service,"" issued by order of the Public Service Commission. It deals specifically with the rules, conditions, and administrative framework governing a public sector service (the Health Service). This falls under the definition of Public Service Gazettes, which cover public service regulations, amendments to service minutes, and administrative circulars. It does not involve government structure/personnel (Types 1-3) or fit the other specialized categories (Land, Legal, Commercial, etc.).",doc-archive/2026/01/10/2470-58/2470-58_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2026/1/2470-58_E.pdf,2470/58
2470-56,2026-01-09,LEGAL_REGULATORY,"The gazette content is a formal notification regarding the parliamentary approval of a Proclamation made under the Public Security Ordinance. This involves the operation of a specific part of an existing law (Part II of the Ordinance). The core subject matter is the activation and approval of a legal/regulatory framework (a state of emergency provision), which falls squarely under the definition of Legal/Regulatory Gazettes (Type 5). It does not primarily concern government structure/personnel (Types 1-3), nor does it fit any other specialized category like Land, Commercial, or Elections.",doc-archive/2026/01/09/2470-56/2470-56_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2026/1/2470-56_E.pdf,Presidential Secretariat - The Public Security Ordinance (Chapter 40). Notice under Section 2(7).Ordinance Throughout Sri Lanka with effect from 28th   December 2025.
2470-22,2026-01-07,ELECTIONS,"The gazette content is specifically about filling a vacancy in a local government body (Dehiowita Pradeshiya Sabha) due to a member's absence, as per the Local Authorities Elections Ordinance. It details the process of nomination by a political party and the official declaration by the returning officer. This falls squarely under electoral processes and the administration of local authority elections, making it an **Elections Gazette (Type 7)**.",doc-archive/2026/01/07/2470-22/2470-22_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2026/1/2470-22_E.pdf,Election Commission - Filling of a Vacancy in the Office of member of the Dehiowita Pradheshiya Sabha
2470-23,2026-01-07,PEOPLE,"The gazette content announces the appointment of a specific named individual, Mr. Chandima C. Muhandiramge, to the position of Chief Secretary of the Southern Province. It does not include any detailed description of his portfolio responsibilities, duties, or subject areas he will oversee. Therefore, it fits the definition of a ""People Gazette"" (Type 2), which covers government personnel changes with basic titles only.",doc-archive/2026/01/07/2470-23/2470-23_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2026/1/2470-23_E.pdf,Presidential Secretariat - Appointed Mr. Chandima C. Muhandiramge  as the Chief Secretary of the Southern Province.
2470-19,2026-01-06,LEGAL_REGULATORY,"This gazette content is an amendment to a list of designated persons, groups, and entities under the United Nations Regulations. It is a legal/regulatory update issued under the authority of THE UNITED NATIONS ACT, NO. 45 OF 1968. The content involves modifying a legal instrument (the list) for counter-terrorism purposes, which falls squarely under the definition of Legal/Regulatory Gazettes (Type 5) concerning regulations, statutory instruments, and legal amendments. It does not involve government structure/personnel (Types 1-3) or any of the other specialized non-legal categories.",doc-archive/2026/01/06/2470-19/2470-19_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2026/1/2470-19_E.pdf,Ministry of Defence - United Nations Security Council Resolution (UN Scr) 1373 - Regulation No. 01 of 2012
2470-20,2026-01-06,LEGAL_REGULATORY,"The gazette content is an order issued under the United Nations Act and specific regulations, detailing the freezing of assets for designated persons/entities and revoking a previous order. Its primary function is to enact and modify a legal/regulatory measure (sanctions enforcement) under existing statutory authority, which fits the definition of a Legal/Regulatory Gazette. It does not concern government structure/personnel changes (Types 1-3) or any other specialized administrative category.",doc-archive/2026/01/06/2470-20/2470-20_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2026/1/2470-20_E.pdf,Ministry of Defence - Freezing Order Made under Regulations 5 of the United Nations Regulation No. 01 of 2012
2470-01,2026-01-05,LEGAL_REGULATORY,"The gazette content is a Customs Notification issued under the Customs Ordinance, specifying new official exchange rates for calculating duties and charges. It is a regulatory instrument issued by a government official (the Director General of Customs) exercising statutory powers. This falls squarely under the definition of Legal/Regulatory Gazettes (Type 5), which include ""statutory instruments and subsidiary legislation"" and ""regulatory frameworks and compliance requirements."" The priority rules do not apply here as the core content is not about government structure/personnel (Types 1-3) but about establishing a binding regulatory requirement.",doc-archive/2026/01/05/2470-01/2470-01_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2026/1/2470-01_E.pdf,Sri Lanka Customs - Rates of Exchange w.e.f. 05.01.2026 to 11.01.2026
2470-06,2026-01-05,PEOPLE,"This gazette exclusively lists appointments of named individuals to specific government posts (e.g., Director of Sport, Chief Secretary, Secretary of the Ministry of Agriculture). It provides the names of the appointees and their basic job titles but does **not** include detailed descriptions of their portfolio responsibilities, subject areas, or functions. According to the classification rules, this fits the definition of a **People Gazette (Type 2)**, which covers government personnel changes with basic titles only.",doc-archive/2026/01/05/2470-06/2470-06_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2026/1/2470-06_E.pdf,Governor's Offiice - North Central - Appointment made by Hon.Governer of North Central Provincial Council
2470-15,2026-01-05,ELECTIONS,"The gazette content is a formal notice under the Local Authorities Elections Ordinance declaring the election and appointment of a Vice Chairman for a specific Pradeshiya Sabha. Its primary subject is an electoral result and declaration at the local government level, which fits the definition of Type 7 (Elections Gazettes) for matters concerning electoral processes, candidate declarations, and election results.",doc-archive/2026/01/05/2470-15/2470-15_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2026/1/2470-15_E.pdf,Department of Local Government - Eastern Province - Elected Vice Chairman of Irakkamam Pradeshiya Sabha
2470-16,2026-01-05,ORGANISATIONAL,"The gazette content is about a structural/administrative change within a provincial government framework. It authorizes the Assistant Commissioner of Local Government to perform specific financial and administrative duties for a local authority (Nindavur Pradeshiya Sabha) due to a vacancy in the Chairman's office. The focus is on the assignment of functions and duties (financial administration, project implementation) to a government office/position. No specific individual is appointed, promoted, or named in the authorization; the Assistant Commissioner is referenced by title only. This fits the definition of an Organisational Gazette (Type 1), which covers government structural changes without naming specific people for personnel changes.",doc-archive/2026/01/05/2470-16/2470-16_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2026/1/2470-16_E.pdf,Secretariat of the Governor - Eastern Province - Delegation of powers to the Assistant Commissioner of Ampara District
2469-36,2026-01-04,LEGAL_REGULATORY,"The gazette content is a notice from the Central Bank of Sri Lanka regarding the extension of an Administrator's term for a finance company under the Banking (Special Provisions) Act. This constitutes a regulatory action based on specific legislation, falling squarely under the definition of Legal/Regulatory Gazettes (Type 5), which include statutory instruments, regulatory actions, and legal notices issued under established laws.",doc-archive/2026/01/04/2469-36/2469-36_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2026/1/2469-36_E.pdf,Central Bank of Sri Lanka - Extended the Term of the Administrator Appointed to Nation Lanka Finance PLC
2469-19,2026-01-01,HYBRID,"The gazette names a specific individual, Harshana Nanayakkara, in his official capacity as Minister of Justice and National Integration, and details the action he is taking (establishing a prison) under a specific legal authority (Section 2 of the Prisons Ordinance). This combines a named government personnel action with a specific administrative/operational responsibility, fitting the criteria for a Hybrid Gazette (Type 3).",doc-archive/2026/01/01/2469-19/2469-19_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2026/1/2469-19_E.pdf,2469/19
2470-58,2026-01-10,PUBLIC_SERVICE,"The gazette content is an amendment to the Medical Service Minute of the Sri Lanka Health Service, issued by order of the Public Service Commission. It deals specifically with the rules, conditions, and administrative framework governing a public sector service (the Health Service). This falls under the definition of Public Service Gazettes, which cover public service regulations, service conditions, and administrative circulars. It does not involve government structure/personnel changes (Types 1-3) or fit the other specialized categories like Land, Legal, Commercial, etc.",doc-archive/2026/01/10/2470-58/2470-58_english.pdf,Available,https://documents.gov.lk/view/extra-gazettes/2026/1/2470-58_E.pdf,Office of the Public Service Commission - The Medical Service Minute of the Sri Lanka Health Service 08th Amendment
